S 150528,4 hit s = 9, b= 8
S 150634,4 miss eviction s = 17, b= 20
S 150740,4 miss eviction s = 26, b= 0
S 15084c,4 hit s = 2, b= 12
L 110f0c,4 miss eviction s = 24, b= 12
L 110f10,4 hit s = 24, b= 16
L 110f14,4 hit s = 24, b= 20
L 110f18,4 hit s = 24, b= 24
L 110f1c,4 hit s = 24, b= 28
L 110f20,4 miss eviction s = 25, b= 0
L 110f24,4 hit s = 25, b= 4
L 110f28,4 hit s = 25, b= 8
S 1500fc,4 hit s = 7, b= 28
S 150208,4 hit s = 16, b= 8
S 150314,4 miss eviction s = 24, b= 20
S 150420,4 miss eviction s = 1, b= 0
S 15052c,4 hit s = 9, b= 12
S 150638,4 hit s = 17, b= 24
S 150744,4 hit s = 26, b= 4
S 150850,4 hit s = 2, b= 16
L 111000,4 miss eviction s = 0, b= 0
L 111004,4 hit s = 0, b= 4
L 111008,4 hit s = 0, b= 8
L 11100c,4 hit s = 0, b= 12
L 111010,4 hit s = 0, b= 16
L 111014,4 hit s = 0, b= 20
L 111018,4 hit s = 0, b= 24
L 11101c,4 hit s = 0, b= 28
S 150100,4 miss eviction s = 8, b= 0
S 15020c,4 hit s = 16, b= 12
S 150318,4 hit s = 24, b= 24
S 150424,4 hit s = 1, b= 4
S 150530,4 hit s = 9, b= 16
S 15063c,4 hit s = 17, b= 28
S 150748,4 hit s = 26, b= 8
S 150854,4 hit s = 2, b= 20
L 1110f4,4 miss eviction s = 7, b= 20
L 1110f8,4 hit s = 7, b= 24
L 1110fc,4 hit s = 7, b= 28
L 111100,4 miss eviction s = 8, b= 0
L 111104,4 hit s = 8, b= 4
L 111108,4 hit s = 8, b= 8
L 11110c,4 hit s = 8, b= 12
L 111110,4 hit s = 8, b= 16
S 150104,4 miss eviction s = 8, b= 4
S 150210,4 hit s = 16, b= 16
S 15031c,4 hit s = 24, b= 28
S 150428,4 hit s = 1, b= 8
S 150534,4 hit s = 9, b= 20
S 150640,4 miss eviction s = 18, b= 0
S 15074c,4 hit s = 26, b= 12
S 150858,4 hit s = 2, b= 24
L 1111e8,4 miss eviction s = 15, b= 8
L 1111ec,4 hit s = 15, b= 12
L 1111f0,4 hit s = 15, b= 16
L 1111f4,4 hit s = 15, b= 20
L 1111f8,4 hit s = 15, b= 24
L 1111fc,4 hit s = 15, b= 28
L 111200,4 miss eviction s = 16, b= 0
L 111204,4 hit s = 16, b= 4
S 150108,4 hit s = 8, b= 8
S 150214,4 miss eviction s = 16, b= 20
S 150320,4 miss eviction s = 25, b= 0
S 15042c,4 hit s = 1, b= 12
S 150538,4 hit s = 9, b= 24
S 150644,4 hit s = 18, b= 4
S 150750,4 hit s = 26, b= 16
S 15085c,4 hit s = 2, b= 28
L 1112dc,4 miss eviction s = 22, b= 28
L 1112e0,4 miss eviction s = 23, b= 0
L 1112e4,4 hit s = 23, b= 4
L 1112e8,4 hit s = 23, b= 8
L 1112ec,4 hit s = 23, b= 12
L 1112f0,4 hit s = 23, b= 16
L 1112f4,4 hit s = 23, b= 20
L 1112f8,4 hit s = 23, b= 24
S 15010c,4 hit s = 8, b= 12
S 150218,4 hit s = 16, b= 24
S 150324,4 hit s = 25, b= 4
S 150430,4 hit s = 1, b= 16
S 15053c,4 hit s = 9, b= 28
S 150648,4 hit s = 18, b= 8
S 150754,4 hit s = 26, b= 20
S 150860,4 miss eviction s = 3, b= 0
L 1113d0,4 miss s = 30, b= 16
L 1113d4,4 hit s = 30, b= 20
L 1113d8,4 hit s = 30, b= 24
L 1113dc,4 hit s = 30, b= 28
L 1113e0,4 miss eviction s = 31, b= 0
L 1113e4,4 hit s = 31, b= 4
L 1113e8,4 hit s = 31, b= 8
L 1113ec,4 hit s = 31, b= 12
S 150110,4 hit s = 8, b= 16
S 15021c,4 hit s = 16, b= 28
S 150328,4 hit s = 25, b= 8
S 150434,4 hit s = 1, b= 20
S 150540,4 miss eviction s = 10, b= 0
S 15064c,4 hit s = 18, b= 12
S 150758,4 hit s = 26, b= 24
S 150864,4 hit s = 3, b= 4
L 1114c4,4 miss eviction s = 6, b= 4
L 1114c8,4 hit s = 6, b= 8
L 1114cc,4 hit s = 6, b= 12
L 1114d0,4 hit s = 6, b= 16
L 1114d4,4 hit s = 6, b= 20
L 1114d8,4 hit s = 6, b= 24
L 1114dc,4 hit s = 6, b= 28
L 1114e0,4 miss eviction s = 7, b= 0
S 150114,4 hit s = 8, b= 20
S 150220,4 miss eviction s = 17, b= 0
S 15032c,4 hit s = 25, b= 12
S 150438,4 hit s = 1, b= 24
S 150544,4 hit s = 10, b= 4
S 150650,4 hit s = 18, b= 16
S 15075c,4 hit s = 26, b= 28
S 150868,4 hit s = 3, b= 8
L 1115b8,4 miss eviction s = 13, b= 24
L 1115bc,4 hit s = 13, b= 28
L 1115c0,4 miss eviction s = 14, b= 0
L 1115c4,4 hit s = 14, b= 4
L 1115c8,4 hit s = 14, b= 8
L 1115cc,4 hit s = 14, b= 12
L 1115d0,4 hit s = 14, b= 16
L 1115d4,4 hit s = 14, b= 20
S 150118,4 hit s = 8, b= 24
S 150224,4 hit s = 17, b= 4
S 150330,4 hit s = 25, b= 16
S 15043c,4 hit s = 1, b= 28
S 150548,4 hit s = 10, b= 8
S 150654,4 hit s = 18, b= 20
S 150760,4 miss eviction s = 27, b= 0
S 15086c,4 hit s = 3, b= 12
L 1116ac,4 miss eviction s = 21, b= 12
L 1116b0,4 hit s = 21, b= 16
L 1116b4,4 hit s = 21, b= 20
L 1116b8,4 hit s = 21, b= 24
L 1116bc,4 hit s = 21, b= 28
L 1116c0,4 miss eviction s = 22, b= 0
L 1116c4,4 hit s = 22, b= 4
L 1116c8,4 hit s = 22, b= 8
S 15011c,4 hit s = 8, b= 28
S 150228,4 hit s = 17, b= 8
S 150334,4 hit s = 25, b= 20
S 150440,4 miss eviction s = 2, b= 0
S 15054c,4 hit s = 10, b= 12
S 150658,4 hit s = 18, b= 24
S 150764,4 hit s = 27, b= 4
S 150870,4 hit s = 3, b= 16
L 1117a0,4 miss eviction s = 29, b= 0
L 1117a4,4 hit s = 29, b= 4
L 1117a8,4 hit s = 29, b= 8
L 1117ac,4 hit s = 29, b= 12
L 1117b0,4 hit s = 29, b= 16
L 1117b4,4 hit s = 29, b= 20
L 1117b8,4 hit s = 29, b= 24
L 1117bc,4 hit s = 29, b= 28
S 150120,4 miss eviction s = 9, b= 0
S 15022c,4 hit s = 17, b= 12
S 150338,4 hit s = 25, b= 24
S 150444,4 hit s = 2, b= 4
S 150550,4 hit s = 10, b= 16
S 15065c,4 hit s = 18, b= 28
S 150768,4 hit s = 27, b= 8
S 150874,4 hit s = 3, b= 20
L 111894,4 miss eviction s = 4, b= 20
L 111898,4 hit s = 4, b= 24
L 11189c,4 hit s = 4, b= 28
L 1118a0,4 miss eviction s = 5, b= 0
L 1118a4,4 hit s = 5, b= 4
L 1118a8,4 hit s = 5, b= 8
L 1118ac,4 hit s = 5, b= 12
L 1118b0,4 hit s = 5, b= 16
S 150124,4 hit s = 9, b= 4
S 150230,4 hit s = 17, b= 16
S 15033c,4 hit s = 25, b= 28
S 150448,4 hit s = 2, b= 8
S 150554,4 hit s = 10, b= 20
S 150660,4 miss eviction s = 19, b= 0
S 15076c,4 hit s = 27, b= 12
S 150878,4 hit s = 3, b= 24
L 111988,4 miss eviction s = 12, b= 8
L 11198c,4 hit s = 12, b= 12
L 111990,4 hit s = 12, b= 16
L 111994,4 hit s = 12, b= 20
L 111998,4 hit s = 12, b= 24
L 11199c,4 hit s = 12, b= 28
L 1119a0,4 miss eviction s = 13, b= 0
L 1119a4,4 hit s = 13, b= 4
S 150128,4 hit s = 9, b= 8
S 150234,4 hit s = 17, b= 20
S 150340,4 miss eviction s = 26, b= 0
S 15044c,4 hit s = 2, b= 12
S 150558,4 hit s = 10, b= 24
S 150664,4 hit s = 19, b= 4
S 150770,4 hit s = 27, b= 16
S 15087c,4 hit s = 3, b= 28
L 111a7c,4 miss eviction s = 19, b= 28
L 111a80,4 miss eviction s = 20, b= 0
L 111a84,4 hit s = 20, b= 4
L 111a88,4 hit s = 20, b= 8
L 111a8c,4 hit s = 20, b= 12
L 111a90,4 hit s = 20, b= 16
L 111a94,4 hit s = 20, b= 20
L 111a98,4 hit s = 20, b= 24
S 15012c,4 hit s = 9, b= 12
S 150238,4 hit s = 17, b= 24
S 150344,4 hit s = 26, b= 4
S 150450,4 hit s = 2, b= 16
S 15055c,4 hit s = 10, b= 28
S 150668,4 miss eviction s = 19, b= 8
S 150774,4 hit s = 27, b= 20
S 150880,4 miss eviction s = 4, b= 0
L 111b70,4 miss eviction s = 27, b= 16
L 111b74,4 hit s = 27, b= 20
L 111b78,4 hit s = 27, b= 24
L 111b7c,4 hit s = 27, b= 28
L 111b80,4 miss eviction s = 28, b= 0
L 111b84,4 hit s = 28, b= 4
L 111b88,4 hit s = 28, b= 8
L 111b8c,4 hit s = 28, b= 12
S 150130,4 hit s = 9, b= 16
S 15023c,4 hit s = 17, b= 28
S 150348,4 hit s = 26, b= 8
S 150454,4 hit s = 2, b= 20
S 150560,4 miss eviction s = 11, b= 0
S 15066c,4 hit s = 19, b= 12
S 150778,4 miss eviction s = 27, b= 24
S 150884,4 hit s = 4, b= 4
L 111c64,4 miss eviction s = 3, b= 4
L 111c68,4 hit s = 3, b= 8
L 111c6c,4 hit s = 3, b= 12
L 111c70,4 hit s = 3, b= 16
L 111c74,4 hit s = 3, b= 20
L 111c78,4 hit s = 3, b= 24
L 111c7c,4 hit s = 3, b= 28
L 111c80,4 miss eviction s = 4, b= 0
S 150134,4 hit s = 9, b= 20
S 150240,4 miss eviction s = 18, b= 0
S 15034c,4 hit s = 26, b= 12
S 150458,4 hit s = 2, b= 24
S 150564,4 hit s = 11, b= 4
S 150670,4 hit s = 19, b= 16
S 15077c,4 hit s = 27, b= 28
S 150888,4 miss eviction s = 4, b= 8
L 111d58,4 miss eviction s = 10, b= 24
L 111d5c,4 hit s = 10, b= 28
L 111d60,4 miss eviction s = 11, b= 0
L 111d64,4 hit s = 11, b= 4
L 111d68,4 hit s = 11, b= 8
L 111d6c,4 hit s = 11, b= 12
L 111d70,4 hit s = 11, b= 16
L 111d74,4 hit s = 11, b= 20
S 150138,4 hit s = 9, b= 24
S 150244,4 hit s = 18, b= 4
S 150350,4 hit s = 26, b= 16
S 15045c,4 hit s = 2, b= 28
S 150568,4 miss eviction s = 11, b= 8
S 150674,4 hit s = 19, b= 20
