L 10fc50,4 hit s = 2, b= 16
L 10fc54,4 hit s = 2, b= 20
L 10fc58,4 hit s = 2, b= 24
L 10fc5c,4 hit s = 2, b= 28
S 14f11c,4 hit s = 8, b= 28
S 14f19c,4 hit s = 12, b= 28
S 14f21c,4 hit s = 16, b= 28
S 14f29c,4 hit s = 20, b= 28
S 14f31c,4 hit s = 24, b= 28
S 14f39c,4 hit s = 28, b= 28
S 14f41c,4 hit s = 0, b= 28
S 14f49c,4 hit s = 4, b= 28
L 10fcc0,4 miss eviction s = 6, b= 0
L 10fcc4,4 hit s = 6, b= 4
L 10fcc8,4 hit s = 6, b= 8
L 10fccc,4 hit s = 6, b= 12
L 10fcd0,4 hit s = 6, b= 16
L 10fcd4,4 hit s = 6, b= 20
L 10fcd8,4 hit s = 6, b= 24
L 10fcdc,4 hit s = 6, b= 28
S 14f120,4 miss s = 9, b= 0
S 14f1a0,4 miss s = 13, b= 0
S 14f220,4 miss s = 17, b= 0
S 14f2a0,4 miss s = 21, b= 0
S 14f320,4 miss s = 25, b= 0
S 14f3a0,4 miss s = 29, b= 0
S 14f420,4 miss s = 1, b= 0
S 14f4a0,4 miss s = 5, b= 0
L 10fd40,4 miss eviction s = 10, b= 0
L 10fd44,4 hit s = 10, b= 4
L 10fd48,4 hit s = 10, b= 8
L 10fd4c,4 hit s = 10, b= 12
L 10fd50,4 hit s = 10, b= 16
L 10fd54,4 hit s = 10, b= 20
L 10fd58,4 hit s = 10, b= 24
L 10fd5c,4 hit s = 10, b= 28
S 14f124,4 hit s = 9, b= 4
S 14f1a4,4 hit s = 13, b= 4
S 14f224,4 hit s = 17, b= 4
S 14f2a4,4 hit s = 21, b= 4
S 14f324,4 hit s = 25, b= 4
S 14f3a4,4 hit s = 29, b= 4
S 14f424,4 hit s = 1, b= 4
S 14f4a4,4 hit s = 5, b= 4
L 10fdc0,4 miss eviction s = 14, b= 0
L 10fdc4,4 hit s = 14, b= 4
L 10fdc8,4 hit s = 14, b= 8
L 10fdcc,4 hit s = 14, b= 12
L 10fdd0,4 hit s = 14, b= 16
L 10fdd4,4 hit s = 14, b= 20
L 10fdd8,4 hit s = 14, b= 24
L 10fddc,4 hit s = 14, b= 28
S 14f128,4 hit s = 9, b= 8
S 14f1a8,4 hit s = 13, b= 8
S 14f228,4 hit s = 17, b= 8
S 14f2a8,4 hit s = 21, b= 8
S 14f328,4 hit s = 25, b= 8
S 14f3a8,4 hit s = 29, b= 8
S 14f428,4 hit s = 1, b= 8
S 14f4a8,4 hit s = 5, b= 8
L 10fe40,4 miss eviction s = 18, b= 0
L 10fe44,4 hit s = 18, b= 4
L 10fe48,4 hit s = 18, b= 8
L 10fe4c,4 hit s = 18, b= 12
L 10fe50,4 hit s = 18, b= 16
L 10fe54,4 hit s = 18, b= 20
L 10fe58,4 hit s = 18, b= 24
L 10fe5c,4 hit s = 18, b= 28
S 14f12c,4 hit s = 9, b= 12
S 14f1ac,4 hit s = 13, b= 12
S 14f22c,4 hit s = 17, b= 12
S 14f2ac,4 hit s = 21, b= 12
S 14f32c,4 hit s = 25, b= 12
S 14f3ac,4 hit s = 29, b= 12
S 14f42c,4 hit s = 1, b= 12
S 14f4ac,4 hit s = 5, b= 12
L 10fec0,4 miss eviction s = 22, b= 0
L 10fec4,4 hit s = 22, b= 4
L 10fec8,4 hit s = 22, b= 8
L 10fecc,4 hit s = 22, b= 12
L 10fed0,4 hit s = 22, b= 16
L 10fed4,4 hit s = 22, b= 20
L 10fed8,4 hit s = 22, b= 24
L 10fedc,4 hit s = 22, b= 28
S 14f130,4 hit s = 9, b= 16
S 14f1b0,4 hit s = 13, b= 16
S 14f230,4 hit s = 17, b= 16
S 14f2b0,4 hit s = 21, b= 16
S 14f330,4 hit s = 25, b= 16
S 14f3b0,4 hit s = 29, b= 16
S 14f430,4 hit s = 1, b= 16
S 14f4b0,4 hit s = 5, b= 16
L 10ff40,4 miss eviction s = 26, b= 0
L 10ff44,4 hit s = 26, b= 4
L 10ff48,4 hit s = 26, b= 8
L 10ff4c,4 hit s = 26, b= 12
L 10ff50,4 hit s = 26, b= 16
L 10ff54,4 hit s = 26, b= 20
L 10ff58,4 hit s = 26, b= 24
L 10ff5c,4 hit s = 26, b= 28
S 14f134,4 hit s = 9, b= 20
S 14f1b4,4 hit s = 13, b= 20
S 14f234,4 hit s = 17, b= 20
